id_street,number,original_n,source,author,date,coordinate,first_day,first_month,first_year,last_day,last_month,last_year
13,7.0,7,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63266616130571 -23.549448006804703),9.0,5.0,1908.0,5.0,5.0,1940.0
13,5.0,5 tinta,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63266616130571 -23.549448006804703),9.0,4.0,1908.0,9.0,4.0,1908.0
13,67.0,67,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.632471483028 -23.54942803724068),5.0,6.0,1940.0,,,
13,11.0,11,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.632471483028 -23.54942803724068),9.0,5.0,1908.0,5.0,5.0,1940.0
13,93.0,93,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63221840126698 -23.549402076807453),5.0,6.0,1940.0,,,
13,19.0,19,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63221840126698 -23.549402076807453),9.0,5.0,1908.0,5.0,5.0,1940.0
14,21.0,21,"Livro de Emplacamento. n,26. p,356",Cintia,8/10/2018,POINT(-46.63427004011147 -23.553015425806944),12.0,7.0,1939.0,,,
14,3.0,3,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.63427004011147 -23.553015425806944),2.0,8.0,1909.0,12.0,6.0,1939.0
14,1.0,1B Tinta,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.63427004011147 -23.553015425806944),2.0,7.0,1909.0,2.0,7.0,1909.0
14,109.0,109,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.633911071891546 -23.552300289534163),12.0,7.0,1939.0,,,
14,23.0,23,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.633911071891546 -23.552300289534163),2.0,8.0,1909.0,12.0,6.0,1939.0
14,7.0,7,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.633911071891546 -23.552300289534163),2.0,7.0,1909.0,2.0,7.0,1909.0
14,357.0,357,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.63289484787207 -23.550287247063928),12.0,7.0,1939.0,,,
14,55.0,55,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63289484787207 -23.550287247063928),2.0,8.0,1909.0,12.0,6.0,1939.0
14,35.0,35,"Livro de Emplacamento. n,21. p,356",Cintia,8/10/2018,POINT(-46.63289484787207 -23.550287247063928),2.0,7.0,1909.0,2.0,7.0,1909.0
14,98.0,98,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63395594291904 -23.55238968156826),12.0,7.0,1939.0,,,
14,16.0,16,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63395594291904 -23.55238968156826),2.0,8.0,1909.0,12.0,6.0,1939.0
14,8.0,8,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63395594291904 -23.55238968156826),2.0,7.0,1909.0,2.0,7.0,1909.0
14,224.0,224,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63343778421866 -23.551367851244734),12.0,7.0,1939.0,,,
14,50.0,50,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63343778421866 -23.551367851244734),2.0,8.0,1909.0,12.0,6.0,1939.0
14,40.0,40,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63343778421866 -23.551367851244734),2.0,7.0,1909.0,2.0,7.0,1909.0
14,360.0,360,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63288275031384 -23.5502627976486),12.0,7.0,1939.0,,,
14,84.0,84,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.63288275031384 -23.5502627976486),12.0,6.0,1939.0,12.0,6.0,1939.0
14,348.0,348,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.632931140546766 -23.550360595309904),7.0,12.0,1939.0,,,
14,80.0,80,"Livro de Emplacamento. n,21. p,357",Cintia,8/10/2018,POINT(-46.632931140546766 -23.550360595309904),2.0,8.0,1909.0,6.0,12.0,1939.0
16,41.0,41,"Livro de Emplacamento. n,26. p,199",Cintia,8/10/2018,POINT(-46.63453454393662 -23.548070068418784),13.0,9.0,1939.0,,,
16,5.0,5,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63453454393662 -23.548070068418784),16.0,7.0,1928.0,8.0,12.0,1939.0
16,7.0,7,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63453454393662 -23.548070068418784),21.0,6.0,1912.0,15.0,7.0,1928.0
16,121.0,121,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.6347419706087 -23.54737677863827),13.0,9.0,1939.0,,,
16,17.0,17,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.6347419706087 -23.54737677863827),16.0,7.0,1928.0,8.0,12.0,1939.0
16,19.0,19,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.6347419706087 -23.54737677863827),15.0,7.0,1928.0,15.0,7.0,1928.0
16,221.0,221,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.635001809609356 -23.546508869712223),13.0,9.0,1939.0,,,
16,31.0,31A,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.635001809609356 -23.546508869712223),16.0,7.0,1928.0,8.0,12.0,1939.0
16,43.0,43 E/T,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.635001809609356 -23.546508869712223),21.0,6.0,1912.0,15.0,7.0,1928.0
16,18.0,18,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63450327130926 -23.54827472014556),13.0,9.0,1939.0,,,
16,2.0,2B,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63450327130926 -23.54827472014556),16.0,7.0,1928.0,8.0,12.0,1939.0
16,8.0,8A E/T,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63450327130926 -23.54827472014556),15.0,7.0,1928.0,15.0,7.0,1928.0
16,112.0,112,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.634718622610286 -23.547454901671763),13.0,9.0,1939.0,,,
16,12.0,12,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.634718622610286 -23.547454901671763),16.0,7.0,1928.0,8.0,12.0,1939.0
16,24.0,24,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.634718622610286 -23.547454901671763),21.0,6.0,1912.0,15.0,7.0,1928.0
16,218.0,218,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63499400229429 -23.54653490334405),13.0,9.0,1939.0,,,
16,26.0,26 sob,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63499400229429 -23.54653490334405),16.0,7.0,1928.0,8.0,12.0,1939.0
16,44.0,44 E/S,"Livro de Emplacamento. n,26. p,199.",Cintia,8/10/2018,POINT(-46.63499400229429 -23.54653490334405),15.0,7.0,1928.0,15.0,7.0,1928.0
17,19.0,19,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63485561616665 -23.54637356327988),11.0,6.0,1936.0,,,
17,1.0,1,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63485561616665 -23.54637356327988),16.0,6.0,1928.0,11.0,5.0,1936.0
17,1.0,1 E/T Tinta,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63485561616665 -23.54637356327988),15.0,6.0,1928.0,15.0,6.0,1928.0
17,39.0,39,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63466134378195 -23.54635067545669),11.0,6.0,1936.0,,,
17,3.0,3 sob,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63466134378195 -23.54635067545669),16.0,6.0,1928.0,11.0,5.0,1936.0
17,9.0,9 E/S,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63466134378195 -23.54635067545669),15.0,6.0,1928.0,15.0,6.0,1928.0
17,14.0,14,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.6349041744238 -23.546379368039837),11.0,6.0,1936.0,,,
17,2.0,2,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.6349041744238 -23.546379368039837),16.0,6.0,1928.0,11.0,5.0,1936.0
17,2.0,2 E/T,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.6349041744238 -23.546379368039837),15.0,6.0,1928.0,15.0,6.0,1928.0
17,58.0,58,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63447680274753 -23.546328782285446),11.0,6.0,1936.0,,,
17,6.0,6,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63447680274753 -23.546328782285446),16.0,6.0,1928.0,11.0,5.0,1936.0
17,10.0,10 E/T,"Livro de Emplacamento n,21. p,343",Cintia,8/10/2018,POINT(-46.63447680274753 -23.546328782285446),15.0,6.0,1928.0,15.0,6.0,1928.0
19,63.0,63,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63534707109802 -23.547719376865743),1.0,2.0,1935.0,,,
19,1.0,1,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63534707109802 -23.547719376865743),22.0,6.0,1928.0,1.0,1.0,1935.0
19,1.0,1 E/T,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63534707109802 -23.547719376865743),21.0,6.0,1928.0,21.0,6.0,1928.0
19,113.0,113,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.634862708124444 -23.54766682189355),1.0,2.0,1935.0,,,
19,13.0,13 s°,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.634862708124444 -23.54766682189355),22.0,6.0,1928.0,1.0,1.0,1935.0
19,13.0,13 E/S,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.634862708124444 -23.54766682189355),21.0,6.0,1928.0,21.0,6.0,1928.0
19,161.0,161,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.634407755312445 -23.547565860282578),1.0,2.0,1935.0,,,
19,23.0,23,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.634407755312445 -23.547565860282578),22.0,6.0,1928.0,1.0,1.0,1935.0
19,23.0,23 tinta,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.634407755312445 -23.547565860282578),21.0,6.0,1928.0,21.0,6.0,1928.0
19,18.0,18,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.635773478144586 -23.547667917189635),1.0,2.0,1935.0,,,
19,2.0,2 s°,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.635773478144586 -23.547667917189635),22.0,6.0,1928.0,1.0,1.0,1935.0
19,2.0,2 E/S,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.635773478144586 -23.547667917189635),21.0,6.0,1928.0,21.0,6.0,1928.0
19,114.0,114,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63485303455631 -23.547665641137243),1.0,2.0,1935.0,,,
19,12.0,12,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63485303455631 -23.547665641137243),22.0,6.0,1928.0,1.0,1.0,1935.0
19,10.0,10 E/T,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63485303455631 -23.547665641137243),21.0,6.0,1928.0,21.0,6.0,1928.0
19,162.0,162,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63439840989358 -23.54756309708659),1.0,2.0,1935.0,,,
19,20.0,20 sob,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63439840989358 -23.54756309708659),22.0,6.0,1928.0,1.0,1.0,1935.0
19,18.0,18 E/S,"Livro de Emplacamento. n,19. p,222",Cintia,8/10/2018,POINT(-46.63439840989358 -23.54756309708659),21.0,6.0,1928.0,21.0,6.0,1928.0
20,11.0,11,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63374122238333 -23.548967796571777),2.0,5.0,1938.0,,,
20,1.0,1,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63374122238333 -23.548967796571777),3.0,1.0,1928.0,2.0,4.0,1938.0
20,141.0,141,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.634918880889295 -23.54856183171489),2.0,5.0,1938.0,,,
20,15.0,15,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.634918880889295 -23.54856183171489),13.0,3.0,1928.0,2.0,4.0,1938.0
20,27.0,27 E/T,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.634918880889295 -23.54856183171489),3.0,12.0,1928.0,3.0,12.0,1928.0
20,271.0,271,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63603970310673 -23.54800098445889),2.0,5.0,1938.0,,,
20,39.0,39C,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63603970310673 -23.54800098445889),13.0,3.0,1928.0,2.0,4.0,1938.0
20,51.0,51,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63603970310673 -23.54800098445889),3.0,12.0,1928.0,3.0,12.0,1928.0
20,22.0,22,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63384477869661 -23.54894493635435),2.0,5.0,1938.0,,,
20,2.0,2,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63384477869661 -23.54894493635435),13.0,3.0,1928.0,2.0,4.0,1938.0
20,2.0,2 E/T,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63384477869661 -23.54894493635435),3.0,12.0,1928.0,3.0,12.0,1928.0
20,120.0,120,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63473782499263 -23.54865243011778),2.0,5.0,1938.0,,,
20,10.0,10,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63473782499263 -23.54865243011778),13.0,3.0,1928.0,2.0,4.0,1938.0
20,10.0,10A,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63473782499263 -23.54865243011778),3.0,12.0,1928.0,3.0,12.0,1928.0
20,246.0,246,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63582416037261 -23.54810883970043),2.0,5.0,1938.0,,,
20,28.1,28 sob,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63582416037261 -23.54810883970043),13.0,3.0,1928.0,2.0,4.0,1938.0
20,28.0,28 E/S,"Livro de Emplacamento. n,24. p,205",Cintia,8/10/2018,POINT(-46.63582416037261 -23.54810883970043),3.0,12.0,1928.0,3.0,12.0,1928.0
51,366.0,366,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.637128780557326 -23.545451311749066),10.0,6.0,1936.0,,,
51,11.0,11,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.637128780557326 -23.545451311749066),10.0,5.0,1936.0,10.0,5.0,1936.0
51,410.0,410,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.63686799241758 -23.545137690170254),10.0,6.0,1936.0,,,
51,1.0,1,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.63686799241758 -23.545137690170254),23.0,2.0,1909.0,10.0,5.0,1936.0
51,19.0,19,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.6391541218578 -23.54795001332819),10.0,6.0,1936.0,,,
51,72.0,72,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.6391541218578 -23.54795001332819),23.0,2.0,1909.0,10.0,5.0,1936.0
51,82.3,82C,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.6391541218578 -23.54795001332819),22.0,2.0,1909.0,22.0,2.0,1909.0
51,197.0,197,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.63812844175726 -23.54665756351328),10.0,6.0,1936.0,,,
51,26.0,26,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.63812844175726 -23.54665756351328),23.0,2.0,1909.0,10.0,5.0,1936.0
51,44.0,44 tinta,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.63812844175726 -23.54665756351328),22.0,2.0,1909.0,22.0,2.0,1909.0
51,449.0,449,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.636636839293715 -23.54485970740722),10.0,6.0,1936.0,,,
51,4.0,4,"Livro de Emplacamento. n,21.p,307",Cintia,8/10/2018,POINT(-46.636636839293715 -23.54485970740722),23.0,2.0,1909.0,10.0,5.0,1936.0
54,15.0,15,"Livro de Emplacamento n,20. p,154",Cintia,8/10/2018,POINT(-46.64089803814346 -23.54317281547161),11.0,6.0,1935.0,,,
54,1.0,1,"Livro de Emplacamento n,20. p,154",Cintia,8/10/2018,POINT(-46.64089803814346 -23.54317281547161),20.0,2.0,1909.0,11.0,5.0,1935.0
